MERRA,OSCAR,,,
DATE,TIME (hrs),LAT,LON,MSLP(hPa)
10 25,12,20.79,-48.68,1011.5
,18,21.93,-48.56,1009.5
26,0,22.49,-48.5,1010.8
,6,22.79,-47.86,1008.6
,12,23.78,-46.99,1010.2
,18,25.16,-45.73,1008
27,0,26.42,-46.06,1008.4
,6,27.11,-46.72,1005.3
,12,27.47,-48.16,1006.5
,18,27.03,-50.2,1005.7
28,0,26.48,-51.94,1007.1
,6,25.34,-53.11,1006
,12,24.89,-54.44,1008
,18,24.63,-55.58,1006.3
29,0,24.78,-56.63,1008.1
,6,25.05,-57.41,1006.2
,12,25.5,-58.67,1007.4
,18,26.1,-59.45,1005.8
30,0,26.85,-59.75,1006.4
,6,27.51,-59.81,1005.5
,12,28.22,-59.24,1006.5
,18,29.99,-58.1,1003.3
31,0,31.56,-56.77,1002.5
,6,33.38,-55.09,998.1
,12,35.99,-53.41,994.8
,18,39.08,-50.84,985.4
11 01,0,41.04,-48.46,981.2
,6,43.77,-47.09,972.4
,12,45.66,-44.8,972.8
,18,47.67,-41.9,971.3
2,0,49.73,-38.95,970.6
,6,51.48,-35.66,965.9
,12,53.52,-33.19,961.1
,18,54.66,-30.8,956.6
3,0,55.5,-26.99,956.4
,6,56.66,-22.6,959.1
,12,58.13,-19.36,960.6
,18,59.06,-17.6,965.1
4,0,59.85,-15.52,967.9
,6,60,-13.1,973
,12,62.58,-10.04,978.5
,18,65.06,-7.01,983.4
