Date,Time,Type,Lat,Lon,Speed,Intensity (mb)
20181026,1800, SS, 25.4N,  45.3W,35,1006
20181027,0, SS, 26.4N,  45.3W,40,1005
20181027,600, SS, 27.1N,  46.5W,45,998
20181027,1200, SS, 27.4N,  48.0W,50,995
20181027,1800, TS, 27.1N,  49.9W,50,995
20181028,0, TS, 25.9N,  51.1W,55,994
20181028,600, TS, 25.4N,  52.0W,55,994
20181028,1200, TS, 25.4N,  53.1W,60,990
20181028,1800, HU, 25.7N,  54.8W,65,988
20181029,0, HU, 25.5N,  56.4W,65,988
20181029,600, HU, 25.5N,  57.5W,70,986
20181029,1200, HU, 25.7N,  58.1W,75,981
20181029,1800, HU, 26.2N,  58.5W,85,974
20181030,0, HU, 27.0N,  58.5W,95,966
20181030,600, HU, 28.0N,  58.4W,90,970
20181030,1200, HU, 29.0N,  58.0W,85,971
20181030,1800, HU, 30.3N,  57.3W,75,977
20181031,0, HU, 31.7N,  56.0W,70,977
20181031,600, HU, 33.0N,  54.6W,70,977
20181031,1200, HU, 35.4N,  52.4W,70,974
20181031,1800, EX, 38.0N,  50.5W,70,972
20181101,0, EX, 40.7N,  48.7W,75,968
20181101,600, EX, 43.4N,  46.9W,75,965
20181101,1200, EX, 46.0N,  44.7W,65,965
20181101,1800, EX, 48.2N,  41.8W,60,965
20181102,0, EX, 50.3N,  38.6W,60,965
20181102,600, EX, 52.3N,  35.5W,60,961
20181102,1200, EX, 53.4N,  33.1W,60,957
20181102,1800, EX, 54.2N,  30.4W,65,954
20181103,0, EX, 55.3N,  26.8W,70,952
20181103,600, EX, 56.6N,  23.1W,65,956
20181103,1200, EX, 57.9N,  19.6W,55,960
20181103,1800, EX, 58.9N,  17.1W,50,964
20181104,0, EX, 59.8N,  14.5W,45,968
20181104,600, EX, 60.8N,  12.1W,40,973
20181104,1200, EX, 62.4N,   9.1W,40,977
