# minimum track hours: 48
# region_start: NH; lon 0--360, lat 0--90; region_end: NH; lon 0--360, lat 0--90
# total no. of tracks: 16530
Trk: 23
	np: 9
	0 258.195007324 67.3747558594 -492.49206543 100430.34375
	1 260.387176514 65.5735015869 -459.226776123 100477.304688
	2 265.697875977 63.661567688 -404.764556885 100640.71875
	3 268.473815918 63.4149932861 -399.310455322 100709.359375
	4 276.57144165 63.3587837219 -406.465698242 100631.140625
	5 276.78125 62.8087539673 -494.755767822 100685.515625
	6 276.65423584 62.7302017212 -509.024902344 100674.546875
	7 274.377593994 63.3092880249 -500.462432861 100420.546875
	8 273.375854492 63.3554534912 -582.609619141 100323.1875
Trk: 24
	np: 9
	0 300.618377686 67.4941711426 -1303.09729004 98677.515625
	1 299.647979736 68.4659118652 -1145.15673828 98826.6796875
	2 298.232086182 69.7809066772 -1094.69116211 99225.6875
	3 296.550567627 70.7577972412 -903.60168457 99739.84375
	4 296.253875732 72.4400634766 -827.995300293 100212.117188
	5 294.631347656 72.7486572266 -780.622192383 100454.15625
	6 288.404022217 73.4401397705 -682.683349609 100803.210938
	7 286.166381836 73.2685852051 -515.787963867 101130.21875
	8 280.920928955 73.9368286133 -305.025024414 101501.070312
Trk: 26
	np: 13
	0 275.382629395 83.9577484131 -907.461242676 100057.828125
	1 263.405029297 79.6487503052 -947.88079834 99971.8203125
	2 258.973724365 77.5477752686 -1053.62316895 99949.140625
	3 255.325195312 73.176361084 -1075.73779297 99971.6484375
	4 253.333312988 69.5997009277 -1295.51696777 99861.40625
	5 253.309265137 66.6177978516 -1291.08251953 99783.3203125
	6 255.594558716 64.2249298096 -1320.6998291 99606.828125
	7 256.019958496 62.6831436157 -1099.08630371 99752.234375
	8 258.21697998 62.5198249817 -935.270629883 99968.7109375
	9 260.633972168 61.4095687866 -671.170410156 100073.96875
	10 265.121032715 61.0202102661 -748.442810059 99964.03125
	11 267.552734375 60.8699264526 -727.442565918 99995.9296875
	12 270.204803467 62.5109672546 -780.817871094 99935.0234375
Trk: 27
	np: 16
	0 4.86321687698 59.5477294922 -438.831573486 100684.8125
	1 8.63627815247 57.993270874 -463.522033691 100548.585938
	2 10.615354538 57.8593711853 -396.601470947 100699.8125
	3 18.9903087616 55.8705978394 -331.695495605 100745.40625
	4 20.8841876984 54.9990997314 -333.781433105 100824.984375
	5 22.2337322235 55.6058921814 -219.601516724 100630.390625
	6 32.9601287842 62.4119148254 -532.29119873 99731.0546875
	7 35.131980896 64.09400177 -530.956542969 99497.375
	8 36.4027709961 64.9926452637 -544.758361816 99319.4375
	9 47.0968132019 65.4597015381 -469.36895752 99496.0
	10 59.3249664307 66.8416366577 -507.574432373 99694.359375
	11 61.3557472229 69.2957611084 -508.371948242 99606.7578125
	12 64.723777771 69.8245849609 -487.819885254 99538.625
	13 65.7675476074 71.1788330078 -495.945556641 99577.671875
	14 69.7929611206 72.9935455322 -472.405181885 99640.46875
	15 72.8420181274 75.4396820068 -434.147033691 99656.078125
Trk: 29
	np: 13
	0 74.9005889893 59.5359458923 -1004.69171143 99915.5859375
	1 79.5327987671 61.4551963806 -1067.85290527 99494.921875
	2 83.5357208252 62.9562530518 -1241.05285645 99005.578125
	3 86.4273376465 64.2456588745 -1344.1607666 98835.828125
	4 87.3006134033 64.4265136719 -1214.35913086 98923.2578125
	5 92.9177093506 66.5918426514 -900.67980957 99062.375
	6 96.8278121948 65.928817749 -761.70111084 99325.84375
	7 101.050117493 65.9867858887 -699.379699707 99359.7265625
	8 106.977859497 66.6677780151 -651.737426758 99507.5703125
	9 110.280075073 65.4993133545 -562.304504395 99712.265625
	10 115.803588867 65.7439117432 -539.804504395 100120.078125
	11 118.081039429 65.3316192627 -542.833557129 100400.617188
	12 121.225311279 65.5341110229 -423.471282959 100654.234375
Trk: 67
	np: 29
	0 135.324935913 16.2370071411 -1023.77880859 99452.9453125
	1 135.324935913 16.2370071411 -1257.68811035 98785.0625
	2 135.324935913 16.2370071411 -1213.24987793 99149.0703125
	3 133.470336914 17.3287277222 -1550.72045898 98404.9140625
	4 131.870254517 17.142250061 -1639.03295898 98539.296875
	5 131.601104736 18.4140396118 -2023.42077637 97606.1015625
	6 131.601104736 18.4140396118 -2118.75927734 97724.9609375
	7 130.166275024 19.9680175781 -2409.07788086 97159.9921875
	8 129.589126587 20.1061859131 -2175.50048828 97778.3515625
