# minimum track hours: 48
# region_start: NA; lon 280--360, lat 0--45; region_end: UK; lon 0--20, lat 49--90
Trk: 1366
	np: 12
	57 339.393096924 38.0321121216 -1480.20788574 99273.7890625
	58 342.973846436 40.2232704163 -1622.18530273 99246.671875
	59 345.77053833 43.7734184265 -1865.57666016 98651.6015625
	60 346.813537598 47.3759651184 -2497.28295898 97575.875
	61 348.161102295 49.7806816101 -2756.34106445 97076.359375
	62 350.498474121 53.3418388367 -2267.39916992 97947.953125
	63 350.867156982 55.0957374573 -1992.9465332 98240.296875
	64 353.366119385 56.8610572815 -1812.34289551 98574.6328125
	65 356.597625732 57.9871025085 -1427.07788086 99150.6796875
	66 1.99327588081 59.1484107971 -1020.08868408 99691.8359375
	67 4.83276939392 59.0368881226 -809.074462891 100033.625
	68 6.4736828804 58.5082397461 -414.016540527 100650.53125
Trk: 1495
	np: 18
	62 291.742614746 42.5868263245 -474.073394775 100822.03125
	63 295.260803223 42.7687339783 -410.351135254 100694.4375
	64 295.685394287 41.5605430603 -439.605377197 101193.132812
	65 297.349945068 41.5754737854 -441.373291016 101036.0
	66 303.352722168 43.2050743103 -542.750793457 100959.007812
	67 306.815704346 43.8409919739 -555.868408203 100658.953125
	68 314.77355957 45.7596054077 -684.221130371 100418.351562
	69 322.338378906 47.0362091064 -758.952026367 100029.46875
	70 325.856445312 46.4492073059 -650.394348145 99938.8515625
	71 333.389373779 46.531867981 -608.150939941 99898.5703125
	72 344.225463867 48.3365516663 -830.811401367 99426.8671875
	73 348.219116211 49.3736877441 -935.8125 99075.0625
	74 351.13079834 50.4645309448 -1019.69085693 99003.4609375
	75 355.10546875 52.1697845459 -1074.96118164 98979.296875
	76 357.527709961 54.1170730591 -966.188537598 99310.8203125
	77 0.400506854057 54.0284309387 -886.398620605 99625.4453125
	78 2.82562541962 55.3227119446 -660.92956543 99883.5859375
	79 2.79597020149 56.1988220215 -468.38760376 100192.125
Trk: 1576
	np: 21
	65 291.171722412 31.3819503784 -327.619049072 101209.0
	66 292.07824707 33.379032135 -415.211517334 101276.796875
	67 294.727233887 34.3963356018 -482.552581787 101154.773438
	68 296.964111328 34.838092804 -472.344573975 101290.78125
	69 297.531890869 34.369758606 -358.928955078 101493.390625
	70 305.449157715 38.5232391357 -525.942260742 101340.804688
	71 311.545227051 40.1241912842 -523.526916504 101106.171875
	72 317.203613281 42.1024627686 -657.562255859 100830.96875
	73 320.128326416 42.5264549255 -969.777832031 100161.71875
	74 326.742401123 46.0483894348 -1434.28918457 99021.140625
	75 329.43182373 46.9930992126 -2116.71972656 97446.46875
	76 334.074188232 47.5917816162 -2224.26635742 97464.6015625
	77 338.354888916 49.4878616333 -2397.64135742 96816.5546875
	78 340.926239014 51.5262069702 -2410.69506836 97031.625
	79 345.601318359 52.5232925415 -2398.96557617 97002.203125
	80 347.886657715 52.087020874 -2123.41918945 97485.5078125
	81 351.116760254 53.3686676025 -1906.12341309 97650.9375
	82 353.857391357 53.9413223267 -1797.44091797 98380.1328125
	83 357.300262451 54.4716720581 -1615.65014648 98783.0
	84 0.441435784101 55.4986801147 -1516.4921875 99046.1875
	85 0.441435784101 55.4986839294 -1341.31762695 99383.3984375
